sgRNA	Gene	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	AR2466_SP	AR2467_SP	AR2468_SP	AR2469_SP
BRDN0007696693	BRDN0007696693_NegCtrl	905.6379711988044	862.5929240841297	888.187920147393	1019.3507788519948	1010.1262560625017	1030.462890943372	717.9531024666504
BRDN0007696692	BRDN0007696692_NegCtrl	517.6550183349698	523.4538257262667	580.8035730218133	1295.2896839552418	801.6061152171122	738.6951656844467	1244.1912075443859
BRDN0007696691	BRDN0007696691_NegCtrl	648.3603273556756	615.8569423802932	514.9961506399559	730.426513508595	736.6572188882203	932.6448096426918	491.0251463736492
BRDN0007696690	BRDN0007696690_NegCtrl	495.4402820191976	533.7754504588974	483.1538494874442	556.7473202965514	217.0660482570858	300.20031847450116	357.998413491545
BRDN0007696689	BRDN0007696689_NegCtrl	726.8868371230564	724.4797550427392	739.590514769005	805.0923348894737	1333.1615562246216	993.3594807948381	760.9911631049782
BRDN0007696688	BRDN0007696688_NegCtrl	719.6541322760607	687.6168095690583	609.6739260667573	3963.7812133066423	1179.3352228140882	909.0335486390794	762.9474385885386
BRDN0007696687	BRDN0007696687_NegCtrl	748.0683298892577	745.6145104476494	794.3592727513252	1301.7823640753184	981.0701708627344	679.6670131754156	721.8656534337711
BRDN0007696686	BRDN0007696686_NegCtrl	702.6056137081425	625.6870611732747	654.2531476802737	409.03884756481324	476.8616335726531	430.06225399436966	500.80652379145096
BRDN0007696685	BRDN0007696685_NegCtrl	505.25609574012014	499.86154062311107	527.7330711009605	189.9108935122347	405.07601131440424	274.9025388277735	213.23402770807874
BRDN0007696684	BRDN0007696684_NegCtrl	407.6145803056798	391.2387279606651	435.1781157509932	431.7632279850806	393.1117409380294	271.5295015415432	369.73606639290716
BRDN0007696683	BRDN0007696683_NegCtrl	549.6855683716644	543.1140633122297	554.9051680844372	637.9058217975063	678.5450484886856	613.8927860939237	447.9870857353214
BRDN0007696682	BRDN0007696682_NegCtrl	515.5885312358281	598.1627285529264	529.4313271624278	287.3010953133807	317.90775571510204	259.72387103973693	260.18463931352727
BRDN0007696681	BRDN0007696681_NegCtrl	691.7565564376492	645.3472987592378	711.9938537701615	637.9058217975063	658.0348707006144	632.4444911681907	894.0178959870824
BRDN0007696680	BRDN0007696680_NegCtrl	502.6729868661932	547.5376167690715	540.4699915619652	376.5754469644312	164.0814223045688	220.93394224808793	209.32147674095802
BRDN0007696679	BRDN0007696679_NegCtrl	800.2471291425829	695.4809046034436	753.1765632607434	676.8619025179647	993.0344412391091	757.2468707587136	616.2267773215119
BRDN0007696678	BRDN0007696678_NegCtrl	943.3513607581385	846.3732280757101	960.7883667751197	999.8727384917656	1584.4112341284924	1325.6036534885277	1357.6551855908865
BRDN0007696677	BRDN0007696677_NegCtrl	718.1042669517045	672.871631379586	687.7937048942526	941.4386174110781	728.1113114765241	841.5728029144724	745.3409592364953
BRDN0007696676	BRDN0007696676_NegCtrl	396.7655230351864	490.0314218301295	418.6201191516871	66.5499712307831	307.65266682106653	285.02165068646457	293.4413225340533
BRDN0007696675	BRDN0007696675_NegCtrl	699.5058830594302	672.3801254399369	710.2955977086942	970.6556779514218	921.2488189808603	1057.4471892332149	616.2267773215119
BRDN0007696674	BRDN0007696674_NegCtrl	510.93893526275957	562.7743008981929	605.4282859130891	691.4704327881367	540.1013484192057	484.03085057405525	371.6923418764675
BRDN0007696673	BRDN0007696673_NegCtrl	713.4546709786359	744.6314985683513	650.4320715419723	839.1789055198748	721.274585547167	833.1402096988965	729.6907553680126
BRDN0007696672	BRDN0007696672_NegCtrl	406.58133675610895	391.73023390031415	414.7990430133857	321.3876659437818	167.49978526924733	72.52030165395253	187.80244642179412
BRDN0007696671	BRDN0007696671_NegCtrl	534.1869151281026	495.43798716626935	529.4313271624278	1068.0458797525678	610.1777891951152	546.4320403693167	823.5919785789096
BRDN0007696670	BRDN0007696670_NegCtrl	518.1716401097551	499.370034683462	447.06590818126426	350.60472648412565	338.4179335031732	426.68921670813927	226.92795609300123
BRDN0007696669	BRDN0007696669_NegCtrl	698.9892612846447	744.6314985683513	712.8429818008952	886.2508363904286	307.65266682106653	817.9615419108599	635.7895321571154
