sgRNA	Gene	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	amCD19_1to2rep1	amCD19_1to2rep2	amCD19_1to2rep3
BRDN0007696706	BRDN0007696706_NegCtrl	1697.426532295271	1847.6949065394895	1692.9787808645772	1061.8523651799023	1102.247093060369	1120.1146850789405
BRDN0007696705	BRDN0007696705_NegCtrl	1037.68457931332	1019.1949746859224	996.6804000206545	1076.1117971205456	1043.5127897001362	970.3720007060302
BRDN0007696704	BRDN0007696704_NegCtrl	1407.8915378542808	1618.2144312666549	1476.1893113669971	1426.8938228603702	1728.7463289028524	1516.1446792757163
BRDN0007696703	BRDN0007696703_NegCtrl	1089.6240630489176	1180.8009431879186	1088.540344723019	692.0577635192202	732.2209818909023	794.0302868721425
BRDN0007696702	BRDN0007696702_NegCtrl	1674.2195289240467	1703.3269080110394	1665.4207974538679	2032.444365939688	2227.987907464831	2091.471835024266
BRDN0007696701	BRDN0007696701_NegCtrl	1425.5730642323567	1464.1500746280851	1464.2475185556896	1468.7214898862571	1579.9527603902625	1425.5109492605338
BRDN0007696700	BRDN0007696700_NegCtrl	908.3884176736412	838.1962899636867	846.9486901558005	428.7335870153411	446.38070553776936	432.4805160507079
BRDN0007696699	BRDN0007696699_NegCtrl	1751.576206828128	1920.956278927061	1973.1516122067887	2205.458806819493	2495.2289877538906	2276.679892011813
BRDN0007696698	BRDN0007696698_NegCtrl	1664.2736703363792	1582.6611181962157	1551.514466022936	2021.987449183216	2223.0933821848116	1902.3231810795373
BRDN0007696697	BRDN0007696697_NegCtrl	1956.0188555746288	1837.9985484293695	1868.4312752460933	1841.367977935068	1874.6031822474304	1927.9370613012195
BRDN0007696696	BRDN0007696696_NegCtrl	1575.8660384460004	1428.596761557646	1457.8173224265242	1812.8491140537815	1728.7463289028524	1749.625048988741
BRDN0007696695	BRDN0007696695_NegCtrl	1213.3947476954477	1313.3178373595554	1240.1092534819204	1389.8192998146976	1310.7538699891954	1235.3771460765095
BRDN0007696694	BRDN0007696694_NegCtrl	1520.6112685145138	1272.3776586723832	1336.562195419403	1174.9771919090058	1116.9306689004272	1212.718713572714
BRDN0007696693	BRDN0007696693_NegCtrl	1937.2322337979233	1890.789831473355	1921.7100431734648	1549.5249375499022	1698.400272166732	1808.7340033464686
BRDN0007696692	BRDN0007696692_NegCtrl	1107.3055894269933	1147.4023763641726	1256.644043528346	1757.712643883294	1767.9025311430075	1633.3774387518763
BRDN0007696691	BRDN0007696691_NegCtrl	1386.894725280316	1349.9485235533411	1114.261129239681	1605.6120365164325	1670.0120255426195	1733.8626611600134
BRDN0007696690	BRDN0007696690_NegCtrl	1059.7864872859147	1170.0272119544522	1045.3661707129077	1349.8928903808965	1312.7116801012032	1297.4415481521237
BRDN0007696689	BRDN0007696689_NegCtrl	1554.8692258720355	1588.0479838129488	1600.200236715189	3027.7527153965884	3019.92209777197	2926.878389946818
BRDN0007696688	BRDN0007696688_NegCtrl	1539.3978902912193	1507.2449995619509	1319.108805925954	1284.2995034539374	1334.2475913332885	1424.5258000212382
BRDN0007696687	BRDN0007696687_NegCtrl	1600.1781372158546	1634.3750281168545	1718.6995653812392	1574.2412862470173	1516.3239317500104	1643.228931144831
BRDN0007696686	BRDN0007696686_NegCtrl	1502.929742136438	1371.4959860202741	1415.5617478634365	1018.1234405619297	1051.3440301481673	1061.9908799605082
BRDN0007696685	BRDN0007696685_NegCtrl	1080.7832998598797	1095.688466443534	1141.8191126503905	779.5156127551655	937.7910436517171	880.7234199301432
BRDN0007696684	BRDN0007696684_NegCtrl	871.92026951886	857.5890061839262	941.5644331992359	420.1779278509551	474.7689521618818	461.0498439902763
BRDN0007696683	BRDN0007696683_NegCtrl	1175.8215041420367	1190.4973012980383	1200.6094772599035	926.8630761418127	1127.6986245164699	997.9561794063031
BRDN0007696682	BRDN0007696682_NegCtrl	1102.8852078324744	1311.163091112862	1145.493510438485	1129.3470096989472	1152.1712509165668	1072.8275215927583
BRDN0007696681	BRDN0007696681_NegCtrl	1479.7227387652135	1414.5909109541396	1540.4912726586522	785.2193855314229	757.6725133470032	795.015436111438
BRDN0007696680	BRDN0007696680_NegCtrl	1075.257822866731	1200.193659408158	1169.3770960610998	1035.2347588907016	962.2636700518142	957.5650605951893
BRDN0007696679	BRDN0007696679_NegCtrl	1711.7927724774577	1524.482969535497	1629.5954190199457	1692.119256956335	1794.3329676551123	1704.3081839811496
BRDN0007696678	BRDN0007696678_NegCtrl	2017.904197897894	1855.2365184029159	2078.7905486145078	1642.686559562105	1755.1767654149571	1715.1448256133997
BRDN0007696677	BRDN0007696677_NegCtrl	1536.08260409533	1474.9238058615515	1488.1311041783044	1337.534716032339	1448.7794828857425	1377.238636535056
BRDN0007696676	BRDN0007696676_NegCtrl	848.7132661476355	1074.141003976601	905.7390547653137	1236.7680636517932	1114.9728587884194	1209.7632658548275
