sgRNA	Gene	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	AR2480_SP	AR2481_SP	AR2482_SP	AR2483_SP
BRDN0007695746	Pam16	403.3095454641595	359.58686528007934	372.3509702936435	149.7753637273205	232.5462195142929	189.94478104401665	147.08875291200332
BRDN0007692475	Palm	356.7103853031677	427.21187260189606	373.03987125625895	584.7394337299498	443.15411643289775	458.48740252004023	260.9639164567801
BRDN0007692474	Palm	821.8772230164315	866.9768902755065	750.2131482882105	539.6016528806205	1603.6913817447933	1028.3217456520902	1480.377126082098
BRDN0007692473	Palm	716.3074442446268	699.3316625435777	649.6336077463568	494.463872031291	359.78849056928334	535.4477879430469	1247.8820005115122
BRDN0007692472	Palm	666.4092284970161	705.8107051612368	627.2443264613551	1023.8069383552456	745.9029682533923	818.7275045000719	706.9749736738224
BRDN0007692471	Palm	542.6946439988077	547.4791011921928	538.7205527652715	1032.0138076005783	3529.8761056462004	1345.988017398118	1760.3202364630076
BRDN0007692470	Palm	520.4260187891301	511.4394266314642	531.1426421765017	381.6194199079673	105.30394845930243	273.454986503024	206.3987339249079
BRDN0007692469	Pak2	1002.0881344354883	931.7673164520975	1024.0512809278466	1339.771404300552	1257.0658847329228	3625.325389926318	2355.7924458325692
BRDN0007692468	Pak2	754.6589654390715	773.4357124830535	778.1136372741357	707.8424724099393	719.5769811385667	507.61105279004454	861.1809243073743
BRDN0007692467	Pak2	782.2885559770048	786.7987378819754	791.202755563829	720.1527762779383	138.21143235283444	343.86555189003013	590.7274108885294
BRDN0007692466	Pak2	782.2885559770048	816.7643099886487	751.9354006947491	1021.7552210439125	664.7311746493466	989.0228254360868	1340.4055708916433
BRDN0007692465	Pak2	437.94962912365787	481.87879468839463	410.929424200108	997.1346133079145	480.44926484556737	306.20408668302684	1039.110867346088
BRDN0007692464	Pak2	657.7492075821416	621.178210968065	647.5669048585105	311.8610313226399	976.2553555081163	1183.8799715071038	2339.185651148956
BRDN0007695745	Pafah1b1	680.017832791819	718.3638502329513	665.4783298865118	311.8610313226399	388.3083099436777	373.33974205203276	1058.0900612702176
BRDN0007695744	Pafah1b1	447.4344139351872	477.82939305235766	469.4860060224201	332.3782044359715	331.2686711948889	171.93277594501507	913.3737075987303
BRDN0007695743	Pafah1b1	369.4942257013159	401.2957021312597	370.6287178871049	248.25779467131207	555.0395616709066	106.43457558500934	111.50276430426058
BRDN0007695742	Pafah1b1	654.0377700471953	621.5831511316687	576.2656552278128	890.4453131185903	791.973445704337	643.5198185370565	797.1261448134373
BRDN0007695741	Pafah1b1	582.2833110382344	609.0300060599542	607.2661985455075	724.2562109006046	662.5373423897778	607.4958083390533	298.922304305039
BRDN0007695740	Pafah1b1	480.01258785304873	465.2762479806432	444.3411208869566	67.7066712739942	89.94712264232083	157.19568086401378	123.36476050684149
BRDN0007695739	Paf1	515.8898173575292	553.1482634826446	476.03056516726673	281.0852716526426	120.66077427628403	111.34694061200976	113.87516354477677
BRDN0007695738	Paf1	270.11017615442177	317.0681481016916	299.6719187377149	110.7927348119905	131.62993557412804	37.6614652070033	263.3363156972963
BRDN0007695737	Paf1	381.45330220280937	424.7822316202739	375.7954751067207	149.7753637273205	26.325987114825608	126.08403569301106	213.51593164645644
BRDN0007695736	Paf1	279.5949609659511	332.4558743186319	307.24982932648476	2.0517173113331575	28.51981937439441	68.77311037800604	102.01316734219586
BRDN0007695735	Paf1	370.73137154629796	416.27848818459637	375.45102462541297	254.41294660531153	171.11891624636644	112.98439562100991	237.23992405161826
BRDN0007695734	Paf1	473.0020947314836	468.11082912586903	491.18638634480635	254.41294660531153	256.67837436954966	73.68547540500646	249.10192025419917
BRDN0007696440	Padi6	185.1594947989853	170.47980887715474	173.94749306039776	311.8610313226399	734.9338069555482	540.3601529700474	189.7919392412946
BRDN0007696460	P2rx6	565.7880331051399	535.3308962840821	572.8211504147356	1081.255023072574	451.9294454711729	1051.2461157780922	400.93547164723486
BRDN0007692463	Oxsr1	631.3567628891905	613.0794076959911	563.865437900735	190.80970995398366	59.23347100835762	163.74550090001435	87.77877189909876
BRDN0007692462	Oxsr1	412.7943302756888	349.0584210263833	417.1295328636469	94.37899632132525	201.83256788032966	40.93637522500359	97.2683688611635
BRDN0007692461	Oxsr1	287.84259993249833	287.50751615862197	300.36081970033035	145.67192910465417	24.132154855256807	85.14766046800747	37.95838784825892
BRDN0007692460	Oxsr1	543.5194078954625	505.3653241774088	500.4865493401147	184.65455801998417	19.744490336119206	330.765911818029	967.9388901306025
BRDN0007692459	Oxsr1	443.3105944519136	455.55768405415455	484.29737671865195	377.515985285301	910.4403877210523	383.1644721060336	1311.936780005449
BRDN0007692458	Oxsr1	397.1238162392491	452.318162745325	472.9305108354973	699.6356031646067	107.49778071887124	280.00480653902457	567.0034184833677
BRDN0007696417	Osm	912.6012516484509	904.2313853270464	914.5160278719922	2176.87206732448	1357.9821686730877	2100.8547765471844	2661.831947859157
BRDN0007694233	Olfr998	581.870929089907	624.8226724404982	585.9102687044289	863.7729880712593	184.28190980377926	1121.6566811650985	735.4437645600166
BRDN0007694232	Olfr998	660.635881220433	688.398278126278	658.9337707416652	683.2218646739415	300.5550195609257	494.5114127180434	908.628909117698
BRDN0007694231	Olfr998	642.4910754940291	647.9042617659087	640.677895232356	806.324903353931	427.79729061591615	1090.5450359940955	543.2794260782058
BRDN0007694230	Olfr998	315.05980852210416	361.6115660980978	379.5844304011056	445.22265655929516	182.08807754421045	510.88596280804484	441.26625873601
BRDN0007694229	Olfr998	542.2822620504803	596.4768609882398	549.7429681671184	342.6367909926373	355.4008260501457	820.3649595090719	334.50829291278177
BRDN0007694228	Olfr998	545.5813176370992	604.9806044239173	541.1317061344255	410.3434622666315	144.79292913154086	1241.190896822109	4154.071070143836
BRDN0007692457	Olfr971	456.9191987467165	468.9207094530764	493.9419901952681	268.77496778464365	230.35238725472408	194.8571460710171	106.75796582322822
BRDN0007692456	Olfr971	520.0136368408029	447.8638209456844	490.1530349008832	84.12040976465946	153.56825816981603	217.7815161970191	109.1303650637444
BRDN0007692455	Olfr971	641.2539296490471	737.3960379223248	639.6445437884329	1136.6513904785693	1353.59450415395	949.7239052200833	844.574129623761
BRDN0007692454	Olfr971	474.2392405764657	533.7111356296673	564.2098883820427	260.568098539311	254.48454210998088	350.41537192603073	830.339734180664
BRDN0007692453	Olfr971	694.4512009832767	728.8922944866473	772.94688005452	1311.0473619418876	1164.924929831033	990.6602804450869	792.381346332405
BRDN0007692452	Olfr971	703.5236038464786	664.1018683100565	669.6117356622044	1294.6336234512223	1094.7222975248314	1044.6962957420917	927.6081030418275
BRDN0007696379	Olfr958	877.9611679889525	875.0756935475805	917.2716317224539	1060.7378499592423	1092.5284652652626	990.6602804450869	1347.5227686131918
BRDN0007692451	Olfr936	328.2560308685797	370.52024969737903	378.5510789571824	28.724042358664207	344.4316647523017	49.12365027000431	289.4327073429743
BRDN0007692450	Olfr936	274.2339956376954	255.92218339753396	252.82665327986524	215.43031768998154	195.25107110162327	312.75390671902744	239.61232329213445
BRDN0007692449	Olfr936	661.4606451170878	625.6325527677056	697.1677741668219	527.2913490126215	544.0704003730625	469.9495875830412	389.073475444654
BRDN0007692448	Olfr936	473.8268586281383	490.78747828767587	460.5302935084194	974.5657228832498	462.89860676901696	119.53421565701048	453.1282549385909
BRDN0007692447	Olfr936	620.6348322326791	664.9117486372638	631.3777322370477	787.8594475519325	576.9778842665946	1336.1632873441172	813.7329394970507
BRDN0007692446	Olfr936	329.9055586618892	311.39898581123987	316.2055418404854	90.27556169865893	1987.6120271693335	358.60264697103145	659.5269888634988
BRDN0007696454	Olfr923	603.3147904029298	525.6123323575935	563.5209874194272	293.3955755206415	544.0704003730625	548.5474280150481	638.1753956988531
BRDN0007696392	Olfr901	653.6253880988679	634.9461765305905	674.4340424005125	1267.9612984038913	1215.3830718011156	944.8115401930829	763.9125554462108
BRDN0007692445	Olfr875	734.4522499710308	729.7021748138546	732.9906242228246	1278.219884960557	2915.603072966936	1833.949610080161	1354.6399663347404
BRDN0007692444	Olfr875	371.55613544295267	400.4858218040523	430.5631016346479	258.51638122797783	493.61225840298016	360.2401019800316	287.0603081024581
BRDN0007692443	Olfr875	561.6642136218663	545.4544003741744	476.71946612988216	416.498614200631	283.0043614843753	160.47059088201408	225.37792784903735
BRDN0007692442	Olfr875	538.5708245155341	555.5779044642667	544.5762109475027	490.36043740862465	627.436026236677	386.4393821240339	1152.9860308908649
BRDN0007692441	Olfr875	547.643227378736	571.7755110084145	547.3318147979644	404.188310332632	425.60345835634735	158.83313587301393	398.5630724067187
BRDN0007692440	Olfr875	336.0912878867996	342.5793784087242	323.78345242925525	67.7066712739942	177.70041302507286	149.00840581901306	450.7558556980747
BRDN0007694227	Olfr746	460.63063628166276	436.525496364781	448.13007618134156	186.70627533131733	471.67393580729214	447.0252174570392	265.7087149378125
BRDN0007694226	Olfr746	583.5204568832165	600.9312027878804	555.5986263493496	387.77457184196675	142.59909687197205	391.3517471510343	334.50829291278177
BRDN0007694225	Olfr746	571.561380381723	613.4843478595948	577.2990066717359	656.5495396266103	195.25107110162327	1193.7047015611047	721.2093691169196
BRDN0007694224	Olfr746	607.8509918345308	589.5928782069769	611.0551538398923	342.6367909926373	544.0704003730625	474.86195261004167	206.3987339249079
BRDN0007694223	Olfr746	483.31164343966765	481.06891436118724	491.53083682611407	215.43031768998154	443.15411643289775	672.994008699059	474.4798481032365
BRDN0007694222	Olfr746	736.926541660995	790.038259190805	715.7681001574387	1434.150400621877	3185.4444408938984	1586.6939037211391	1411.5775481071287
BRDN0007696375	Olfr726	530.7355674973143	533.7111356296673	457.77468965795765	379.56770259663415	107.49778071887124	124.44658068401091	329.7634944317494
BRDN0007696439	Olfr693	619.3976863876969	673.4154920729413	626.8998759800473	726.3079282119378	888.5020651253643	1039.7839307150912	742.5609622815651
BRDN0007696402	Olfr559	656.9244436854868	722.8181920325919	652.3892115968185	980.7208748172493	644.9866843132274	537.0852429520471	1209.9236126632532
BRDN0007692439	Olfr497	912.6012516484509	914.3548894171387	905.2158648766838	342.6367909926373	269.8413679269625	671.3565536900588	462.61785190065564
BRDN0007692438	Olfr497	612.3871932661318	624.0127921132909	637.5778409005866	1214.6166483092293	870.9514070488138	1025.0468356340898	2256.15167773089
BRDN0007692437	Olfr497	717.9569720379363	724.8428928506104	634.4777865688171	642.1875184472783	397.0836389819529	651.7070935820572	1394.9707534235154
BRDN0007692436	Olfr497	556.715630241938	642.6400396390607	614.1552081716618	1440.3055525558766	1123.242116899226	764.691489203067	1143.4964339288001
BRDN0007692435	Olfr497	716.3074442446268	800.1617632808973	795.6806118208293	990.9794613739151	1897.6649045270126	997.2101004810875	1050.972863548669
BRDN0007692434	Olfr497	799.1962158584265	851.5891640585663	863.5373566384499	1003.289765241914	1553.233239774711	1211.7167066601062	1663.0518676018442
BRDN0007692433	Olfr473	669.2959021353076	648.3092019295124	667.8894832556658	896.6004650525898	875.3390715679515	368.42737702503234	915.7461068392465
BRDN0007692432	Olfr473	766.2056599922377	828.9125148967595	777.4247363115203	1981.9589227478302	469.48010354772333	1051.2461157780922	557.5138215213029
BRDN0007692431	Olfr473	515.8898173575292	483.0936151792057	487.0529805691137	459.5846777386273	559.4272261900442	379.8895620880333	386.7010762041378
BRDN0007692430	Olfr473	733.6274860743761	774.6505329738646	734.3684261480555	1151.0134116579013	261.0660388886873	627.1452684470551	208.7711331654241
BRDN0007692429	Olfr473	440.0115388652947	488.3578373060537	458.11914013926537	426.75720075729674	489.22459388384254	332.4033668270292	372.46668076104066
BRDN0007692428	Olfr473	598.7785889713289	621.5831511316687	565.9321407885813	794.014599485932	1009.1628394016483	705.7431088790619	775.7745516487918
BRDN0007692427	Olfr458	586.4071305215081	528.851853666423	557.3208787558882	523.1879143899552	423.40962609677854	838.3769646080735	362.97708379897597
BRDN0007692426	Olfr458	394.64952454928493	391.5771382047711	334.8058678311022	361.10224679463573	228.15855499515527	807.2653194370708	260.9639164567801
BRDN0007692425	Olfr458	355.88562140651294	403.7253431128819	369.5953664431818	272.8784024073099	177.70041302507286	271.81753149402385	294.17750582400663
BRDN0007692424	Olfr458	708.472187226407	744.6849608671913	727.8238670032089	638.084083824612	1173.7002588693083	731.9423890230642	1364.1295632968051
BRDN0007692423	Olfr458	446.1972680902051	475.39975207073553	487.0529805691137	584.7394337299498	70.20263230620162	460.12485752904036	258.5915172162639
BRDN0007692422	Olfr458	633.0062906824999	691.2328592715039	712.3235953443615	588.8428683526162	2643.5678727804047	1498.2713332351314	1224.1580081063503
BRDN0007692421	Olfr456	543.1070259471351	601.336142951484	532.1759936204248	560.118825993952	743.7091359938235	872.7635197970766	564.6310192428515
BRDN0007692420	Olfr456	664.3473187553793	735.7762772679101	749.8686978069028	892.4970304299235	677.8941682067594	594.3961682670522	792.381346332405
BRDN0007692419	Olfr456	661.8730270654152	661.2672871648306	663.0671765173578	428.8089180686299	998.1936781038044	741.7671190770651	861.1809243073743
BRDN0007692418	Olfr456	546.406081533754	528.4469135028193	495.31979212049896	695.5321685419403	342.2378324927329	388.076837133034	1060.4624605107338
BRDN0007692417	Olfr456	548.4679912753908	548.2889815194003	604.166144213738	1009.4449171759135	1125.4359491587948	908.7875299950797	934.725300763376
BRDN0007692416	Olfr456	555.0661024486285	631.706655221761	637.5778409005866	802.2214687312646	491.41842614341135	702.4681988610616	2804.175902290128
BRDN0007692415	Olfr297	833.0115356212701	807.8556263893674	816.0031902179848	1206.4097790638966	1105.6914588226755	1010.3097405530887	977.4284870926673
