sgRNA	Gene	pDNA_CP1704	AR2466_BM	AR2466_SP	AR2467_BM	AR2467_SP	AR2468_BM	AR2468_SP	AR2469_BM	AR2469_SP	AR2473_BM	AR2473_SP	AR2474_BM	AR2474_SP	AR2475_BM	AR2475_SP	AR2476_BM	AR2476_SP	AR2480_BM	AR2480_SP	AR2481_BM	AR2481_SP	AR2482_BM	AR2482_SP	AR2483_BM	AR2483_SP	ahEGFRv3_1to10rep1	ahEGFRv3_1to10rep2	ahEGFRv3_1to10rep3	ahEGFRv3_1to2rep1	ahEGFRv3_1to2rep2	ahEGFRv3_1to2rep3	amCD19_1to10rep1	amCD19_1to10rep2	amCD19_1to10rep3	NoCAR_T_rep1	NoCAR_T_rep2	NoCAR_T_rep3	amCD19_1to2rep1	amCD19_1to2rep2	amCD19_1to2rep3	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	Input2_ACT_rep1	Input2_ACT_rep2	Input2_ACT_rep3
BRDN0007696118	Tmem94	566.8394043	651.3897012	968.1135373	1006.441923	1111.595324	1231.782223	886.2980203	594.8411313	800.3980866	1953.661439	1978.892095	1430.74553	1008.779125	6344.055036	1724.816093	879.1317799	1041.444247	1547.136782	585.781493	3266.36649	749.0522123	731.0478373	1316.060971	938.1597136	1672.66224	862.4498521	827.6287794	857.8618579	750.0103418	682.5631026	770.0953376	973.7203451	971.9124133	901.2611219	782.021934	755.3411052	781.9811597	1055.323267	1002.492826	1080.80816	703.0679681	636.1882698	689.3897999	808.9302685	779.3878303	839.506186
BRDN0007693363	Tmem92	532.8615406	242.0976097	287.5139972	1127.313625	469.8743479	379.0099147	475.6311365	953.9444015	314.7328069	240.9991118	477.2107042	1229.252492	283.9324196	73.98314911	1457.993714	648.4204012	558.4556109	224.8843628	540.5876686	153.0223746	1060.520352	473.1923149	658.0304853	418.6049798	773.5556605	357.7206773	389.4182132	405.831164	357.9385149	362.6724178	360.1165248	317.3090471	364.5973683	328.9700423	453.4574359	402.9120901	403.0926692	351.5714952	399.4452841	390.4392169	413.0838342	414.6336213	386.0349977	374.8633768	327.6133387	342.1915856
BRDN0007693362	Tmem92	550.2936619	997.8166675	533.4732369	508.1545006	711.4210075	621.6336859	1111.352753	804.9287587	1085.285541	1401.787733	1383.473234	3970.427565	1698.134279	1169.858545	1095.877628	2390.898446	1561.663258	4326.910409	1126.369162	655.5402962	1026.125097	2319.328129	1051.723938	831.8259727	1733.412684	753.6635639	866.2944175	792.6389922	768.4607807	756.4588232	771.942089	816.8092778	726.0696164	698.818019	857.9184116	856.3072554	887.1762443	856.2516155	891.6909877	790.865688	822.9376472	773.0104196	765.0829367	932.0403812	949.3410913	956.3520933
BRDN0007693361	Tmem92	533.0092704	588.524576	564.9200803	907.7711467	669.3606439	130.6435691	461.7102252	470.2542824	560.2786606	390.7322878	575.717501	697.2528875	582.880496	1736.292031	962.4664386	763.7760906	522.2314632	1286.744362	641.4046614	1050.375806	1058.609504	397.7558589	593.3522752	574.7405993	694.5800826	610.575293	614.9677693	646.7934177	648.5329278	622.2797517	621.4318492	693.8956085	631.2743006	651.1270957	559.1360756	543.8836962	556.6961113	764.3255623	732.7819081	781.8147389	571.7137688	551.1085067	533.3454871	562.4333912	566.1010975	560.9179145
BRDN0007693360	Tmem92	478.3492288	638.0141426	672.7378293	751.1312885	1118.805672	1419.851537	897.8987797	702.3278244	942.8418138	386.4541971	1376.906114	1919.257428	517.3576299	57.79933524	381.1748271	373.9952876	746.6199339	1364.523916	759.6038944	1331.861409	749.0522123	1031.422089	648.188149	298.8112717	749.2554827	628.2163127	677.5692788	562.5472162	615.3221377	513.3807951	533.7111573	597.1337837	517.728263	545.0391234	518.7860496	519.118414	527.8372828	679.7048907	716.0219661	696.2988752	548.3858373	509.4367859	492.0053893	588.9919773	635.8649136	629.4137912
BRDN0007693359	Tmem92	490.4630759	442.7309879	477.3181593	690.6954377	1130.822919	455.0990264	636.8816926	1556.114171	940.1286	1404.639794	676.4133376	2473.000886	2083.081117	1165.234598	2287.048963	1171.77095	1017.294816	1506.556145	813.4888389	566.7495356	737.5871274	1449.751527	951.8945268	865.4758907	1348.659869	771.3045836	807.3753498	798.074231	794.2913952	802.1574924	872.5900408	894.3930833	960.4536389	943.1123403	702.2825967	803.9191586	797.8069689	912.8683239	892.3117263	909.7764327	587.1460928	644.8698783	677.162447	704.9091396	746.8108941	762.9519709
BRDN0007693358	Tmem92	527.3955364	553.7481238	623.321361	608.0586621	648.9313244	456.53467	772.6105779	738.9710152	423.261361	272.3717773	1195.2158	537.7979652	371.296241	337.5481178	123.8818188	426.2089154	764.7320077	282.3735984	443.2471238	430.7296471	317.2006817	215.3367926	419.0023175	650.1164156	528.5288675	375.361697	382.9739402	346.0435372	369.9313002	405.4541507	397.051553	326.0263286	343.763233	327.9967582	325.6823533	330.5212654	341.6512924	307.7392049	273.7457191	310.5411837	497.7821704	466.7232722	451.2475464	473.351467	442.2472743	468.5348203
BRDN0007696366	Tmem35b	532.418351	303.625179	671.6147277	434.151418	725.8417036	897.2772603	711.1265529	1525.578179	537.2163428	561.8559175	297.7094302	2644.05253	555.5793018	164.1501121	276.3517497	241.6398124	395.4469461	253.6289806	531.8965485	808.5626709	775.804077	296.2595363	493.522864	1347.342716	441.4532304	551.771894	554.2074807	546.2414998	541.5203821	598.944261	591.8838266	514.3196093	503.1443683	512.9207465	587.9575228	562.9339132	529.6991427	527.5094382	555.8714093	509.974165	541.9257947	592.4329631	543.8260752	576.2659881	578.0869514	567.8250617
BRDN0007693357	Tmem267	510.7020642	41.46423149	47.17026516	64.13600493	88.92762594	165.0990159	69.60455657	401.8536595	84.10962943	4.278090742	35.02463884	181.1987753	166.5372846	191.893793	28.58811204	197.9260775	89.55414301	285.7553182	147.7490413	2061.079145	340.1308515	20.57357891	181.3801979	375.5330848	162.0011855	136.2278744	134.4091232	125.0104925	166.9764722	140.9852562	177.2881353	106.3508345	100.0038496	107.0612564	118.1679335	123.8264107	138.7085629	92.23044419	89.69672657	101.7451516	301.1097627	315.6632845	281.229116	156.0316934	150.5914972	165.1959379
BRDN0007693356	Tmem267	461.0648373	46.81445491	55.03197602	34.53477188	37.25346492	1.435643616	32.4821264	4.885758778	39.34160086	9.982211732	28.45751906	2.899180405	13.6505971	0	0	0	10.06226326	6.763439483	50.40849643	5.667495356	9.554237401	0	5.624192182	1.34599672	48.60035564	64.6837389	67.20456162	80.62270892	62.7314923	47.64329349	68.32980214	51.43196093	41.66827067	39.90465011	70.13218818	85.72597663	65.16509665	52.35523565	37.55468483	39.01271152	229.690403	239.6123942	250.0784789	67.50307302	71.30046397	66.48129207
