sgRNA	Gene	NoCAR_T_rep1	NoCAR_T_rep2	NoCAR_T_rep3	amCD19_1to10rep1	amCD19_1to10rep2	amCD19_1to10rep3
BRDN0007692057	Map2k1	350.25125582136025	457.6558797360365	382.34423113062024	439.2984132914331	432.62476471259305	446.649471505595
BRDN0007692056	Map2k1	471.99100855698975	486.76118787714415	486.9755168875931	506.10838031283856	558.5788101352467	579.1041423658748
BRDN0007692055	Magel2	847.188935020897	881.1882947549125	873.2311979530534	804.4652193399369	829.106194651729	838.879582115106
BRDN0007692054	Magel2	935.0012156826626	982.5550575911838	933.8586719430751	826.4301400045085	860.8685191496155	772.1388564878332
BRDN0007692053	Magel2	408.12753171206936	375.3581118887668	379.4106436794902	453.94169373448085	381.147893974639	503.12239319021046
BRDN0007692052	Magel2	470.9931417312879	505.83018286614566	469.3739921808126	507.93879036821954	493.95890857058095	522.6312206812595
BRDN0007692051	Magel2	447.04433791444274	429.55420291013957	433.19308028354163	344.1170904116226	348.29031690785973	347.05177326181865
BRDN0007692050	Magel2	744.4086519736034	690.4983448648973	700.1495383363788	528.0733009774102	611.1509334420934	614.0146757709099
BRDN0007692049	Maea	520.8864830163819	514.862864703041	510.4442164966337	600.3744981649586	627.5797219754832	657.1394523300708
BRDN0007692048	Maea	630.6518338435889	744.69443588627	745.1312125870401	908.7985924966522	929.8694309898519	952.8522058786027
BRDN0007692047	Maea	734.4299837165845	694.5128701257397	724.5961004291295	741.3160724292934	717.3904326246796	714.639154408952
BRDN0007692046	Maea	821.2443975526481	739.676279310217	756.8655623915603	696.4710260724596	703.1521492290753	695.1303269179031
BRDN0007692045	Maea	582.7542262098985	511.8519707574093	578.8945903563356	713.8599215985788	698.7711389535048	684.8625229752457
BRDN0007692044	Maea	447.04433791444274	522.891915224726	511.4220789803437	504.2779702574576	509.2924445350779	519.5508794984622
BRDN0007694113	Lysmd3	833.2187994610707	793.8723703315897	825.3159362512622	726.6727919862456	719.5809377624649	684.8625229752457
BRDN0007694112	Lysmd3	487.95687776821984	462.6740363120896	461.5510923111324	498.78674009131464	555.2930524285688	528.7919030468538
BRDN0007694111	Lysmd3	539.8459527047177	521.8882839095154	555.4258907472949	638.813109327959	618.817701424342	623.2556993193016
BRDN0007694110	Lysmd3	512.9035484107669	526.9064404855684	506.5327665617936	551.8686316973628	492.8636560016883	566.7827776346861
BRDN0007694109	Lysmd3	550.8224877874384	530.9209657464108	552.4923032961649	729.418407069317	750.2480096914588	751.6032486025185
BRDN0007694108	Lysmd3	709.4833130740375	672.4329811911064	680.5922886621782	817.2780897276036	795.1533650160571	838.879582115106
BRDN0007695619	Lsm4	197.57763148897246	223.80978329196523	237.62058354153638	204.09072117497828	155.52586478275498	200.22217688181846
BRDN0007695618	Lsm4	290.3792462792474	274.99498036770615	277.71294537364747	253.51179267026453	254.09859598309262	253.61475738363671
BRDN0007695617	Lsm4	168.6394935436179	172.62458621622432	196.55035922571528	139.11116420895382	117.19202487151256	111.91906297496519
BRDN0007695616	Lsm4	131.7184209926483	141.51201544469552	135.92288523569366	84.19886254752468	82.14394266694805	83.16921193552459
BRDN0007695615	Lsm4	547.8288873103328	474.71761209461687	493.8205542735633	501.5323551743861	483.00638288165453	470.26542057370693
BRDN0007695614	Lsm4	64.86134367062228	79.2868739016379	63.56106144115171	41.18422624607185	44.90535532459827	45.17833734769237
BRDN0007692043	Lrrd1	525.8758171448914	634.2949912131032	551.5144408124548	511.59961047898145	557.4835575663541	522.6312206812595
BRDN0007692042	Lrrd1	512.9035484107669	483.7502939315123	545.6472659101946	613.1873685526253	635.2464899577316	639.6841856275533
BRDN0007692041	Lrrd1	807.2742619928218	905.275446319967	836.0724235720725	1028.6904511241057	1015.2991313634778	1044.2356609682531
BRDN0007692040	Lrrd1	468.9974080798841	467.6921928881426	470.35185466452265	551.8686316973628	542.1500216018571	561.6488756633574
BRDN0007692039	Lrrd1	410.12326536347314	427.54694027971834	410.70224315821105	493.29550992517176	452.3393109526606	493.8813696418188
BRDN0007692038	Lrrd1	269.4240429395079	334.20922796513196	303.13736995010817	380.72529151924203	365.814358010142	362.45347917580466
BRDN0007692037	Lrp6	531.8630180991026	505.83018286614566	541.7358159753545	495.12591998055274	545.4357793085351	514.4169775271336
BRDN0007692036	Lrp6	394.15739615224305	405.467051345085	374.5213312609401	416.418287599171	428.2437544370225	416.8728400718887
BRDN0007692035	Lrp6	364.2213913811866	388.4053189865047	400.9236183211108	394.4533669345993	348.29031690785973	377.8551850897907
BRDN0007692034	Lrp6	348.2555221699565	350.26732900850163	381.36636864691025	393.53816190690884	412.9102184725255	386.0694282439166
BRDN0007692033	Lrp6	1100.6471087491748	1085.9290830578761	1016.9769830584273	949.982818742724	967.1080183322017	924.1023548391621
BRDN0007692032	Lrp6	500.92914650234434	486.76118787714415	437.10453021838174	559.1902719188868	542.1500216018571	544.1936089608399
BRDN0007692031	Lrp2	526.8736839705932	514.862864703041	527.0678787197041	598.5440881095776	568.4360832552806	606.8272130110497
BRDN0007692030	Lrp2	593.7307612926193	582.1061628221518	646.3671017323273	533.5645311435532	527.9117382062528	497.9884912188818
BRDN0007692029	Lrp2	845.1932013694933	949.4352241892337	930.925084491945	968.2869192965338	907.9643796119991	903.5667469538473
BRDN0007692028	Lrp2	747.4022524507089	747.7053298319018	769.5777746797907	588.4768328049822	668.1040670245108	587.3183855200008
BRDN0007692027	Lrp2	771.3510562675541	775.8070066577988	854.651810762563	609.5265484418634	681.2470978512225	615.0414561651756
BRDN0007692026	Lrp2	306.3451154904775	290.04945009586527	276.7350828899374	305.6784792486222	343.90930663228914	294.68597315426615
BRDN0007696452	Lpcat2b	655.5985044861359	709.5673398538987	613.1197772861865	665.354055130983	623.1987116999126	667.4072562727282
BRDN0007692025	Lpar6	306.3451154904775	365.32179873666075	376.4770562283601	370.6580362146467	349.3855694767524	336.7839693191613
BRDN0007692024	Lpar6	311.3344496189869	328.1874400738683	310.9602698197884	298.3568390270983	320.9090026855437	340.8910908962242
BRDN0007692023	Lpar6	669.5686400459622	721.6109156364261	725.5739629128395	827.345345032199	848.8207408917965	777.2727584591619
BRDN0007692022	Lpar6	624.6646328893776	575.0807436156775	607.2526023839263	583.9008076665298	520.2449702240043	574.9970207888119
BRDN0007692021	Lpar6	643.6241025777133	728.6363348429003	700.1495383363788	694.6406160170786	657.1515413355844	689.9964249465744
BRDN0007692020	Lpar6	404.13606440926185	424.5360463340865	464.4846797622625	437.46800323605214	412.9102184725255	397.3640125808397
BRDN0007692019	Lpar2	611.6923641552531	639.3131477891563	591.6068026445658	407.2662373222661	423.86274416145193	411.73893810056
BRDN0007692018	Lpar2	227.5136362600289	243.88240959617735	285.5358452433277	213.24277145188316	224.52677662299135	206.38285924741285
BRDN0007692017	Lpar2	394.15739615224305	492.78297576840777	492.84269178985323	506.10838031283856	440.2915326948415	491.82780885328737
BRDN0007692016	Lpar2	473.98674220839354	508.84107681177744	551.5144408124548	483.2282546205764	541.0547690329645	525.7115618640566
BRDN0007692015	Lpar2	720.4598481567582	761.7561682448503	803.8029616096416	788.9067338691985	832.3919523584069	828.6117781724487
BRDN0007692014	Lpar2	567.7862238243704	540.9572788985168	548.5808533613248	501.5323551743861	511.4829496728632	512.363416738602
BRDN0007695613	Lmnb2	728.4427827623732	810.93410269017	693.3045009504086	664.4388501032926	601.2936603220597	606.8272130110497
BRDN0007695612	Lmnb2	962.9414868023152	959.4715373413397	1131.3868936525005	1262.98293821287	1178.4917641284815	1196.1991593195821
BRDN0007695611	Lmnb2	567.7862238243704	570.0625870396244	541.7358159753545	572.918347334244	564.05507297971	595.5326286741267
