sgRNA	Gene	ahEGFRv3_1to10rep1	ahEGFRv3_1to10rep2	ahEGFRv3_1to10rep3	amCD19_1to10rep1	amCD19_1to10rep2	amCD19_1to10rep3
BRDN0007693459	Ube2m	348.39274568987884	288.04279910686756	286.4688351880341	250.8859024939103	269.3764883980997	303.0035381209967
BRDN0007693458	Ube2m	305.75363353081906	297.7412098512066	321.0758085664543	408.9532110248721	402.4154887906306	388.54535330481554
BRDN0007693457	Ube2m	233.99512770215742	210.45551315215576	218.21619324726086	264.67084219137786	275.9734636241756	231.8904628477016
BRDN0007693456	Ube2m	133.117228203894	149.35552546282022	127.8535405369414	136.01140501501362	153.92942194177127	143.25677482591342
BRDN0007693455	Ube2m	402.4716196477108	381.14754225252176	404.7093275643032	427.3331306214955	396.91800943556734	406.06596605330856
BRDN0007693454	Ube2m	319.273352020277	379.20786010365396	344.1471241520678	287.6457416871572	302.36136452847927	292.6972953277656
BRDN0007693453	Ube2l3	203.8357556872127	182.33012199357273	203.79662100625245	205.8550994821828	188.01379394316348	191.69611595409998
BRDN0007693452	Ube2l3	551.1885230317486	469.4030800260064	556.5954885029253	395.16827132740445	426.6043979529089	413.2803360085704
BRDN0007693451	Ube2l3	283.91408827861767	263.7967722460201	288.39144482016854	307.863653243443	337.5452324008841	289.6054224897962
BRDN0007693450	Ube2l3	249.59480288230125	235.6713810874371	259.5523003381517	219.6400391796504	220.99867007354302	187.5736188368075
BRDN0007693449	Ube2l3	237.1150627381862	204.63646670555238	247.05533772927774	266.5088341510402	259.48102555898583	250.4416998755177
BRDN0007693448	Ube2l3	209.0356474139273	254.09836150168115	236.4809847525382	304.1876693241183	300.16237278645394	241.16608136160966
BRDN0007696207	Ube2h	788.3035857699348	818.5458668222095	814.2251792089426	754.4956994413932	763.0501344827804	735.8657354367064
BRDN0007696206	Ube2h	539.7487612329764	590.6332143302436	712.3268687058163	689.2469848733799	688.2844152539201	712.1613770122747
BRDN0007696205	Ube2h	438.87086173471306	514.9856105243996	451.8132635515974	464.09296981474245	527.7580180860729	510.1590182649435
BRDN0007696204	Ube2h	873.5818100880543	902.9220402979586	936.3108908494805	1036.6274652495633	1022.5311600417663	926.5312271114832
BRDN0007696203	Ube2h	243.35493281024372	280.2840705113964	219.1774980633281	272.94180600985845	261.68001730101116	283.4216768138575
BRDN0007696202	Ube2h	625.026985551096	650.7633609451452	592.1637666974127	751.7387115018997	699.2793739640466	771.9375852130155
BRDN0007693447	Ube2g2	50.958938921803174	43.64284834952539	39.41349745875637	20.21791155628581	23.08941329126569	14.428739910523655
BRDN0007693446	Ube2g2	124.79740144115063	122.1999753786711	112.47266347986573	181.9612040065723	175.9193393620243	176.2367517642532
BRDN0007693445	Ube2g2	233.99512770215742	237.61106323630491	256.66838588995	255.48088239306614	229.79463704164425	237.04358424431717
BRDN0007693444	Ube2g2	207.9956690685844	279.3142294369625	230.71315585613485	157.14831255113063	210.0037113634165	189.63486739545374
BRDN0007693443	Ube2g2	412.87140310114	363.6904029127116	391.251060139362	451.22702609710603	487.0766708586048	410.18846317060104
BRDN0007693442	Ube2g2	115.43759633306433	138.68727364404734	134.58267424941198	218.72104319981923	189.1132898141761	187.5736188368075
