sgRNA	Gene	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	AR2466_BM	AR2467_BM	AR2468_BM	AR2469_BM
BRDN0007696165	Tsc1	725.5823992869355	719.0105832959217	785.575790470947	650.9307211286399	1818.3975717734597	561.6635183518925	882.6451434766875
BRDN0007696164	Tsc1	752.3836296165402	727.0468620046861	759.3226149539231	546.9252615543669	724.6500565354197	2575.6284198708213	2082.0938221359866
BRDN0007696163	Tsc1	662.234036689688	723.265083788797	716.9136391187305	252.8408586202155	418.1975793557212	864.5606300345203	2454.803863527294
BRDN0007696162	Tsc1	512.1471468439014	502.9765027132549	516.177820165486	441.12660440122704	413.11825652953837	669.9843397483289	296.4738965612674
BRDN0007696161	Tsc1	751.8963345196383	735.5558629904367	704.7967888801041	369.398701246556	558.7255108801133	549.6278715300663	445.5579131177904
BRDN0007696160	Tsc1	528.7151801385662	520.9399492387283	537.5842555870594	713.6926363889771	445.2873010953631	661.9605752004447	393.0396800126516
BRDN0007693411	Trpm8	568.6733780845224	531.3398393324234	592.1100816608783	647.3443259709064	386.0285347898965	1013.0002741703776	940.2457862371623
BRDN0007693410	Trpm8	656.873790623767	658.0294095647095	649.0592777824226	927.0831482741236	805.9192217543454	1103.2676253340746	853.8448220964501
BRDN0007693409	Trpm8	589.6270672513042	646.684074917042	672.8890832517212	1454.2832364609558	1108.9854837165885	768.2754554599102	367.6276317359716
BRDN0007693408	Trpm8	562.8258369216995	529.921672501465	566.6646961597628	181.11295546554445	350.4732750066166	2401.1115409543404	403.20449932332366
BRDN0007693407	Trpm8	575.495509441149	586.648345739802	585.2438665256567	374.77829398315635	1361.2585174170035	7399.9168542861835	576.0064276047481
BRDN0007693406	Trpm8	669.0561680463146	599.884569495414	673.2929782596755	381.9510842986234	430.0493326168145	585.7348119955451	3107.0464359620823
BRDN0007696159	Trmt5	635.4328063600832	553.5577863507721	490.3285396564163	306.6367859862188	235.34195761313865	74.21982206792866	457.41686898024113
BRDN0007696158	Trmt5	583.2922309915795	632.0296843304716	538.795940610922	98.62586683767272	98.20024130620175	1618.7944975356331	638.6894800205589
BRDN0007696157	Trmt5	576.4700996349528	561.5940650595365	524.6596153325245	227.73609251608065	2522.730337004148	158.46934982071252	645.4660262276736
BRDN0007696156	Trmt5	558.4401810495823	527.5580611165343	543.6426807063726	231.32248767381418	132.06239348075405	381.1288160244985	930.0809669264903
BRDN0007696155	Trmt5	467.3159979289262	521.4126715157145	526.2751953643414	57.38232252373685	103.27956413238459	260.7723478062358	357.46281242529955
BRDN0007696154	Trmt5	625.1996093251432	591.3755685096635	614.3243070983601	125.52383052067437	220.1039891345901	280.8317591759463	120.28369517628563
BRDN0007696153	Trmt112	380.09017558348535	425.92277156451377	392.98984273945064	8.965987894333884	177.7762989163997	104.30893912249432	38.96514069090943
BRDN0007696152	Trmt112	532.1262458168795	487.84938984969835	502.84928490299694	464.43817292649516	94.81402608874652	52.15446956124716	271.0618482845873
BRDN0007696151	Trmt112	441.4893577931253	427.3409383954722	451.1507238848575	211.59731430627966	353.8594902240718	80.23764547884178	623.4422510545509
BRDN0007696150	Trmt112	662.7213317865899	661.3384655036124	625.2294723131239	238.4952779892813	230.2626347869558	401.1882273942089	586.17124691542
BRDN0007696149	Trmt112	265.08853271463596	252.43369591059974	275.4563954247742	78.90069347013818	84.65538043638081	50.148528424276115	27.106184828458733
BRDN0007696148	Trmt112	417.1246029480301	368.2506537722045	407.1261680178481	55.58912494487008	15.237968478548545	118.35052708129163	118.58955862450696
BRDN0007693405	Trim56	915.1401919817763	962.9352782207709	953.192218771946	936.0491361684574	690.7879043608674	876.5962768563465	1097.8004855525787
BRDN0007693404	Trim56	593.0381329296175	571.0485105992593	599.3801918040542	466.23137050536195	474.0701304437325	541.6041069821821	706.4549420917058
BRDN0007693403	Trim56	542.3594428518195	460.43149778450214	510.9271850620812	394.50346735069087	1176.7097880656934	964.8576868830725	470.9699613944705
BRDN0007693402	Trim56	640.7930524260041	570.5757883222732	706.8162639198752	371.19189882542275	1227.5030163275217	122.36240935523372	391.345543460873
BRDN0007693401	Trim56	590.601657445108	559.7031759515919	543.2387856984184	1068.745757004599	1122.5303445864095	1731.1272012060115	808.103135198426
BRDN0007693400	Trim56	714.3746120581917	706.719804094282	796.0770606777565	2289.9133082128737	585.8152326197552	569.6872828997767	836.9034565786634
BRDN0007693399	Trim5	1053.0447044050152	1106.1701281475719	1183.8162683138023	2254.049356635538	807.612329363073	752.2279263641418	1555.2173545328199
BRDN0007693398	Trim5	724.6078090931317	751.1556981309793	745.5901846834798	342.50073756355437	1017.5576728452974	597.7704588173714	288.00321380237403
BRDN0007693397	Trim5	592.5508378327156	606.0299590962338	588.0711315813362	380.1578867197567	485.92188370482586	270.80205349109104	144.00160690118702
BRDN0007693396	Trim5	634.9455112631813	669.3747442123769	716.5097441107763	387.33067703522374	1115.757914151499	1313.8914447160344	371.0159048395289
BRDN0007693395	Trim5	832.7873206053545	841.9183753123186	864.739212029973	303.05039082848526	286.13518587496714	1229.6419169632504	582.7829738118628
BRDN0007693394	Trim5	906.856175334444	911.4085500292814	936.6325234458232	1343.1049865712157	1337.5550108948169	1343.9805617706	1334.9796028015926
BRDN0007693393	Trappc5	578.9065751194623	557.8122868436474	576.3581763506639	236.7020804104145	462.21837718263924	1271.7666808396423	33.882731035573414
BRDN0007693392	Trappc5	587.1905917667947	554.5032309047443	628.4606323767576	125.52383052067437	810.9985445805281	166.4931143685967	264.28530207747264
BRDN0007693391	Trappc5	767.0024825235973	781.4099238580925	782.3446304073133	46.623137050536194	287.8282934836948	447.324873544543	228.70843449012057
BRDN0007693390	Trappc5	448.311489149752	397.5594349453453	469.72989425075133	68.14150799693752	186.24183696003777	684.0259277071262	398.12208966798767
BRDN0007693389	Trappc5	614.4791171933014	602.7209031573308	621.9983122494901	419.6082334548257	445.2873010953631	511.5149899276164	577.7005641565268
BRDN0007693388	Trappc5	288.96599246282926	273.7061983749761	310.5952611167909	68.14150799693752	5.079322826182849	14.041587958797313	128.75437793517898
BRDN0007696147	Tra2b	508.7360811655881	511.9582259759916	495.57917475982106	254.6340561990823	303.0662619622433	288.85552372383046	96.56578345138423
BRDN0007696146	Tra2b	802.0877295005345	906.2086049824339	819.0990761311468	365.8123060888224	204.86602065604157	196.58223142316237	672.5722110561323
BRDN0007696145	Tra2b	407.378701009992	347.45087358481425	341.2912817213112	21.51837094640132	13.54486086982093	6.0178234109131346	1.6941365517786708
BRDN0007696144	Tra2b	407.378701009992	406.06843593109585	404.2989029621686	534.3728785022995	201.47980543858634	226.67134847772806	681.0428938150256
BRDN0007696143	Tra2b	393.7344382967387	408.9047695930127	410.35732808148185	125.52383052067437	74.49673478401512	52.15446956124716	189.74329379921113
BRDN0007696142	Tra2b	588.1651819605985	597.0482358334972	608.2658819790469	503.88851966156426	565.4979413150238	48.142587287305076	511.6292386371586
BRDN0007693387	Tpgs1	739.7139570970908	743.119419422215	722.1642742221353	407.0558504027583	1562.7383228555898	583.728870858574	1814.4202469549564
BRDN0007693386	Tpgs1	787.9561716903793	732.2468070515337	799.7121157493445	658.1035114441071	1105.5992684991334	1378.0815610991076	606.5008855367641
