sgRNA	Gene	amCD19_1to2rep1	amCD19_1to2rep2	amCD19_1to2rep3	amCD19_1to10rep1	amCD19_1to10rep2	amCD19_1to10rep3
BRDN0007693350	Tmem185b	863.7690708618467	807.4533654566144	794.7916657755212	883.9396255750424	904.4673810552046	846.3876423978227
BRDN0007693349	Tmem185b	814.4899379729336	826.8140244308915	804.5051512666671	742.7659648661428	737.7541137844358	754.7405728388228
BRDN0007693348	Tmem185b	509.95597068189795	506.7937202090175	473.6752630682294	624.0517501791135	544.2134241942332	519.3333941676661
BRDN0007693347	Tmem185b	749.1535595359478	838.7720785032391	833.6456077401045	851.8547026866562	956.2059812426844	824.8236260309992
BRDN0007693346	Tmem185b	682.7097848542672	684.4562378553247	731.3683193333337	1159.8699624151645	1099.9243150967952	1135.7048619860382
BRDN0007696117	Tmem167	1904.1678427524942	1856.9149680916923	2016.4053116619802	1501.5743911764787	1477.4244720202598	1602.9252166005474
BRDN0007696116	Tmem167	796.7715980578188	833.0777670402165	842.2163302322921	904.7948254524936	917.8810922149215	833.808632850509
BRDN0007696115	Tmem167	1142.2792264025575	1061.4196567074255	1042.1998550500005	964.1519327960082	1000.2796036246118	1038.6667883353323
BRDN0007696114	Tmem167	1543.15666698203	1482.2292738248007	1456.4514421723966	1312.2733461349994	1264.7213379161758	1283.0589738259987
BRDN0007696113	Tmem167	557.574009203769	516.474049696156	581.0949849703128	648.1154423454032	645.7743801178049	623.5594732739798
BRDN0007696112	Tmem167	370.9777419727162	372.4079696816825	397.11014213802105	535.8182122360512	605.5332466386538	555.2734214457054
BRDN0007696111	Tmem161b	1617.9059134989204	1445.2162493151534	1527.3027481078132	1360.400730467579	1395.0259606105697	1336.9690147430576
BRDN0007696110	Tmem161b	366.5481569939375	318.88144192926944	381.68284165208354	405.87427453808664	421.57377930539195	409.71631096964666
BRDN0007696109	Tmem161b	640.6287275558697	689.5811181720452	740.5104233250004	550.256427535825	590.2032910275487	562.4614269013132
BRDN0007696108	Tmem161b	1513.2569683752738	1401.939482196181	1405.0271072192716	1052.3854707390706	921.7135811176978	995.5387556016854
BRDN0007696107	Tmem161b	575.2923491188837	644.596057614166	603.3788634500003	514.9630123586	500.1398018123059	497.7693778008427
BRDN0007696106	Tmem161b	932.9813361552639	989.1019011270375	959.9209191250004	853.4589488310754	835.4825808052312	787.086597389058
BRDN0007694623	Tmem161a	1266.3076058083611	1347.8435232974657	1327.319223290105	975.3816558069434	1121.003004062065	1008.1177651489991
