sgRNA	Gene	Input2_ACT_rep1	Input2_ACT_rep2	Input2_ACT_rep3	amCD19_1to10rep1	amCD19_1to10rep2	amCD19_1to10rep3
BRDN0007694786	Zdhhc8	1296.796233379344	1332.5712751909841	1316.1599328729917	1152.849114015784	1141.2085211872193	1061.4420709611259
BRDN0007694785	Zdhhc15	763.6864007021329	703.8351558348187	708.7015023162263	825.3539568061351	797.8536095952386	793.7740704578855
BRDN0007694784	Zdhhc15	607.6926861157963	558.2943874653358	602.5857693490908	297.72287019058984	265.9512031984128	289.81983502764655
BRDN0007694783	Zdhhc15	1764.2521457761104	1779.6725156220352	1640.462606583778	2024.5155172960108	1962.8786564420172	1965.9753140410419
BRDN0007694782	Zdhhc15	688.0530845390606	715.4784173043772	803.4476924654545	793.9276538415729	752.2052687477498	784.5441394060496
BRDN0007694781	Zdhhc15	812.0076860285402	866.2586533351614	829.4352189063856	919.6328656998219	1083.6519175099509	1042.9822088574542
BRDN0007694780	Zdhhc15	431.2149484019609	533.2613753057849	499.177070386219	367.1915399017274	438.6210142302182	404.27098007041144
BRDN0007693597	Zc3hc1	1181.2453336857614	1142.7861132371786	1149.4066382103501	932.8649932638481	1063.8048127936513	934.0690224457909
BRDN0007693596	Zc3hc1	1223.2638426652459	1226.0354327445227	1212.75123391012	1587.8553076831458	1750.514635977613	1735.227037745145
BRDN0007693595	Zc3hc1	456.9512851518952	468.05911107625656	494.3044091785444	600.4077882176895	529.9176959251957	526.106069954645
BRDN0007693594	Zc3hc1	901.297017609945	902.3527638907931	848.9258637370839	962.6372802829071	938.7680530809647	943.2989534976267
BRDN0007693593	Zc3hc1	1148.1557578644172	1114.2601226367601	1132.6230273839155	1753.2569022334735	1758.4534778641328	1716.7671756414734
BRDN0007693592	Zc3hc1	873.4597554110364	886.634360906889	936.0923586743737	974.21539190143	918.9209483646653	1055.9041123300244
BRDN0007696285	Zc3hav1	1254.2524930376157	1198.67376829106	1258.2294051817494	1108.1906834871954	1212.6580981658974	1205.4289953697657
BRDN0007696284	Zc3hav1	939.1136756914811	973.3766588551007	926.8884430598773	1040.376029721561	1043.957708077352	1052.21213990929
BRDN0007696283	Zc3hav1	1475.3748965421537	1594.5446582560533	1576.5766040831559	1604.3954671381784	1528.2270631550589	1602.3160305987085
BRDN0007696282	Zc3hav1	561.9975576006068	641.5437069726801	646.9811270190148	550.7873098525912	510.0705912088963	542.7199458479496
BRDN0007696281	Zc3hav1	1214.860140869349	1196.3451159971482	1174.8527578504286	1286.8244056015494	1341.664278821844	1369.7217680924443
BRDN0007696280	Zc3hav1	1152.8828401246092	1119.4995902980613	1074.1510928918203	941.1350729913645	954.6457368540043	926.6850776043221
BRDN0007696279	Zc3h14	515.2519663609302	537.3365168201303	485.64190036490066	317.57106153662914	261.98178225515295	282.43589018617786
BRDN0007696278	Zc3h14	1282.614986598768	1283.669577018838	1259.8536255843076	1066.8402848496135	1127.3155478858098	1116.8216572721412
BRDN0007696277	Zc3h14	634.4794855902177	674.7270021609221	629.6561093917275	656.6443303648009	633.122640449953	596.2535459485977
BRDN0007696276	Zc3h14	336.6733031981205	358.0302901889276	386.02304900799794	474.70257635944046	438.6210142302182	435.65274564665344
BRDN0007696275	Zc3h14	1080.9261434972418	1019.9497047333352	952.8759695008084	1114.8067472692085	1167.0097573184087	1024.5223467537824
BRDN0007696274	Zc3h14	1659.2058733273989	1688.272913086	1684.3165574528496	1392.681426113759	1327.7713055204342	1301.4202783088588
BRDN0007694779	Zbtb8os	482.162390539586	424.3968805654117	465.06844193249685	155.47749887730802	164.73096914528557	155.06284167084274
BRDN0007694778	Zbtb8os	296.2304883053665	319.0253642659062	334.0479961261357	234.8702642614653	285.7983079147123	256.5920832410374
BRDN0007694777	Zbtb8os	174.37681226486117	161.2591713533869	121.27512339101199	133.97529158576543	107.17436546801711	127.37304851533511
BRDN0007694776	Zbtb8os	354.5311695144014	286.42423215114206	244.7158739854349	186.9038018418703	226.25699376581392	188.2905934574519
BRDN0007694775	Zbtb8os	425.9626347795253	366.18057321761864	406.5965074404018	317.57106153662914	361.21730583665027	426.42281459481757
BRDN0007694774	Zbtb8os	296.2304883053665	312.621570457649	269.07918002380785	143.89938725878508	113.12849688290696	143.9869244086397
BRDN0007696273	Zbtb7a	749.5051539215568	785.337986121729	877.6204241822787	215.02207291542598	242.13467753885348	228.90229008552978
BRDN0007696272	Zbtb7a	1211.183521333644	1274.3549678431912	1401.7022074077233	979.1774397379398	938.7680530809647	1007.9084708604779
BRDN0007696271	Zbtb7a	237.92980709633164	224.13278328900347	229.5564835615584	191.8658496783801	146.86857490061604	136.602979567171
BRDN0007696270	Zbtb7a	1268.9589711804354	1236.5143680671256	1224.1207767280273	916.3248338088154	992.3552358149733	902.6872568695488
BRDN0007696269	Zbtb7a	901.297017609945	867.4229794821173	843.5117957285565	716.1889044029189	654.9544556378823	708.8587047809954
BRDN0007696268	Zbtb7a	1131.873585634867	1118.9174272245834	1095.8073649259297	1003.987678920489	1117.39199552766	1054.0581261196573
BRDN0007694773	Zbtb34	1422.3265289555543	1416.9849208452843	1369.2177993565595	1352.9850434216805	1294.0312275027252	1388.181630196116
BRDN0007694772	Zbtb34	1406.044356726004	1301.134469223176	1310.2044580636116	1554.7749887730802	1502.4258270238695	1447.2531889278657
BRDN0007694771	Zbtb34	857.7028145437297	929.132265270778	865.1680677626658	896.476642462776	847.4713713859873	974.6807190738687
BRDN0007694770	Zbtb34	958.5472360944929	881.3948932455876	936.6337654752265	813.7758451876122	920.9056588362953	804.8499877200885
BRDN0007694769	Zbtb34	1120.843727027752	1109.6028180489366	1048.704973251742	1349.6770115306738	1399.2208824991123	1338.3400025162023
BRDN0007694768	Zbtb34	799.4021333346948	820.2677705304048	730.3577743503356	769.1174146590237	785.9453467654589	764.2382910920107
BRDN0007696267	Ypel5	528.9079817792626	526.8575814975276	594.4646673362998	651.682282528291	686.7098231839616	668.2470081529176
BRDN0007696266	Ypel5	903.9231744211628	898.8597854499255	913.353273038559	1083.3804443046463	1059.8353918503915	1046.6741812781886
BRDN0007696265	Ypel5	917.0539584772517	868.5873056290732	820.7727100927418	722.8049681849319	754.1899792193797	729.1645530950343
BRDN0007696264	Ypel5	764.2116320643764	824.9250751182283	767.7148436091741	873.3204192257301	817.700714311538	742.0864565676046
BRDN0007696263	Ypel5	1333.0371973741494	1349.4540043218442	1356.224036136094	1569.6611322826097	1456.7774861763808	1519.2466511321854
BRDN0007696262	Ypel5	517.3528918099043	504.73538470536624	548.4450892638176	352.30539639219796	430.6821723436984	389.50309038747406
BRDN0007696261	Xrn1	711.1632644777771	746.3330601987076	676.2170942650623	421.7740661033356	351.29375347850055	310.1256833416855
BRDN0007696260	Xrn1	1033.130089533078	1050.2221845541876	1028.1315148193382	1048.6461094490776	1091.5907593964707	961.7588156012985
BRDN0007696259	Xrn1	923.3567348241744	939.0290375199028	954.5001899033666	628.5260592912451	670.832139410922	579.6396700552931
BRDN0007696258	Xrn1	758.9593184419409	749.2438755660972	741.1859103673902	406.8879225938061	452.51398753162783	376.5811869149038
BRDN0007696257	Xrn1	1641.8732383733613	1687.1085869390442	1643.7110473888945	1242.165975072961	1335.710147406954	1271.884498942984
BRDN0007696256	Xrn1	720.6174289981611	763.2157893295677	742.8101307699484	573.9435330896371	561.6730634712749	568.5637527930901
BRDN0007696431	Xrcc5	1065.169202629935	1048.475695333754	1031.9213624253073	625.2180274002386	801.8230305384984	655.3251046803473
BRDN0007696255	Xrcc5	566.1994084985552	617.0928578866069	610.165464561029	684.7626014383566	726.4040326165605	716.2426496224641
BRDN0007696254	Xrcc5	1250.0506421396674	1295.3128384883967	1171.0629102444595	679.8005536018468	625.1837985634332	474.41845606436414
BRDN0007696253	Xrcc5	592.9862079729767	651.4404792218048	619.3693801755255	458.1624169044077	527.9329854535658	470.72648364362976
BRDN0007696252	Xrcc5	809.3815292173224	773.1125615786924	820.7727100927418	693.032681165873	779.9912153505691	707.0127185706283
BRDN0007696251	Xrcc5	1221.1629172162716	1285.4160662392717	1273.9302024064787	765.8093827680171	819.685424783168	874.9974637140413
BRDN0007696250	Xrcc5	1083.5523003084595	1056.6259783624448	1029.2143284210438	904.7467221902924	805.7924514817583	790.0820980371511
BRDN0007696249	Xrcc3	173.32634954037405	183.3813681455483	184.61971909078164	191.8658496783801	148.853285372246	143.9869244086397
BRDN0007696248	Xrcc3	556.7452439781712	581.5809104044531	546.2794620604067	347.3433485556881	363.20201630828024	337.8154764971931
BRDN0007696247	Xrcc3	661.2662850646392	592.0598457270559	687.045230282117	367.1915399017274	327.4772278189412	443.03669048812213
BRDN0007696246	Xrcc3	160.1955654842851	146.70509451643863	175.95721027713793	127.35922780375232	69.46486650704813	79.37740704578854
BRDN0007696245	Xrcc3	454.85035970292097	445.93691428409517	427.71137267365833	529.2851025610486	585.4895891308342	516.8761389028092
BRDN0007696244	Xrcc3	611.3693056515011	650.276153074849	681.6311622735897	487.93470392346666	422.7433304571786	444.8826766984893
BRDN0007696447	Xpnpep3	527.8575190547755	585.0738888453208	571.7255817004851	353.9594123377012	402.8962257408792	339.6614627075603
BRDN0007693591	Xkrx	1094.5821589155742	1124.7390579593628	1024.3416672133692	1392.681426113759	1561.967141172768	1445.4072027174984
BRDN0007693590	Xkrx	994.2629687270547	1026.3534985415924	1099.5972125318988	1089.9965080866593	1141.2085211872193	1196.1990643179297
BRDN0007693589	Xkrx	1075.1485985125626	1055.461652215489	1006.4752427852289	1133.0009226697446	1347.6184102367338	1175.8932160038908
BRDN0007693588	Xkrx	1163.3874673694804	1232.4392265527802	1203.5473182956234	1219.009751835915	1317.8477531622846	1281.1144299948198
BRDN0007693587	Xkrx	678.073688656433	692.7740574387379	745.5171647742121	683.1085854928533	712.5110593151509	694.090815098058
BRDN0007693586	Xkrx	1398.691117654594	1288.9090446801395	1261.4778459868658	1382.7573304407395	1393.2667510842225	1397.411561247952
