sgRNA	Gene	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	ahEGFRv3_1to10rep1	ahEGFRv3_1to10rep2	ahEGFRv3_1to10rep3
BRDN0007691149	Ccdc71l	703.9821522777976	725.3185089333995	795.5262011461616	643.175266924023	752.4471137399353	595.5044808074017
BRDN0007691148	Ccdc71l	891.1570802427655	1030.0016240805928	1017.7667656335764	1067.813081274414	1084.846827721753	1027.8570490648303
BRDN0007691147	Ccdc71l	1064.2779180533673	973.875787079794	977.6473288139956	1089.1338083547682	1132.8049954106718	982.1745135508378
BRDN0007691146	Ccdc71l	839.4124755835081	820.3006946270589	802.9166237181897	723.1279934753519	729.2948948556297	716.2368960943817
BRDN0007691145	Ccdc71l	723.785642949859	722.2346717355533	718.982538793014	474.3861775378844	451.4682682439612	451.93079776342535
BRDN0007691144	Ccdc71l	848.9948097796669	855.4564386825043	835.6456379657425	687.5934483414279	755.7545735805504	662.3967649528906
BRDN0007696340	Ccdc60	786.390226364763	822.1509969457666	756.4625389797277	763.9927203793644	775.599332624241	730.9205682238793
BRDN0007691143	Ccdc34	752.5326455383353	693.2466020758002	799.7492997587491	779.9832656896301	790.482901907009	838.6008305068615
BRDN0007691142	Ccdc34	1139.0201247834057	1075.6424146087147	1100.6450759056052	1215.2814435801981	1160.9184040559003	1160.0100982303084
BRDN0007691141	Ccdc34	808.1101838760561	922.6840895955489	841.9802858846236	982.5301729529965	891.3604270457696	815.7595627498653
BRDN0007691140	Ccdc34	894.990013921229	874.57622930915	952.8366244650443	858.1592649842628	907.8977262488451	938.1234971623451
BRDN0007691139	Ccdc34	1526.785248587964	1529.5832501316586	1414.2101478902237	1741.1927115622723	1723.1865769604674	1760.4091364142093
BRDN0007691138	Ccdc34	796.6113828406657	777.1269738572137	831.9504266797284	1249.039261457426	1352.751074811576	1254.638207509293
BRDN0007691137	Ccdc162	714.8421310334442	761.091020428414	733.7633839370701	595.2036309932257	749.1396538993203	734.1836064748787
BRDN0007691136	Ccdc162	1114.7448781531368	1086.1274610813914	1026.2129628587513	1227.7185343770716	1301.485447282042	1204.0611146188012
BRDN0007691135	Ccdc162	862.4100776542892	785.1449505716135	846.2033844972111	749.7789023257948	757.408303500858	766.8139889848734
BRDN0007691134	Ccdc162	986.9804222043532	943.0374151013331	972.3684555482613	811.9643563101616	893.014156966077	794.5498141183688
