sgRNA	Gene	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	AR2480_BM	AR2481_BM	AR2482_BM	AR2483_BM
BRDN0007696160	Tsc1	475.57842485982616	469.87002386640887	481.88790653179467	794.2175749057341	3953.0295874702365	2700.679502663105	583.2836994459246
BRDN0007693411	Trpm8	511.5207574298775	479.25036917045696	530.7645912664245	865.2791473972997	3573.0626439149037	379.7298417994151	802.8531380304537
BRDN0007693410	Trpm8	590.8568817613324	593.5200301470428	581.8135731003712	2539.406193448597	8846.820703863616	1057.4539540692233	1423.0110943379023
BRDN0007693409	Trpm8	530.3685659727093	583.2869261789904	603.1744945769872	1410.781218582554	796.55720697142	57.896029691390645	243.03487476913526
BRDN0007693408	Trpm8	506.2609038830407	477.9712311744504	507.9554717235972	50.161109994046356	153.36015191691132	277.56037763813754	283.2613367998887
BRDN0007693407	Trpm8	517.6572532345205	529.1367510147127	524.6097494850267	718.9759099146645	1187.9689379832384	471.682359544565	150.84923261532535
BRDN0007693406	Trpm8	601.814909983909	541.0753723107739	603.53654409354	424.27938869964214	1222.3033003526962	1062.5624272772873	965.4350887380822
BRDN0007696159	Trmt5	571.5707520895975	499.2901977745597	439.5281130951155	1465.122421076104	244.91845156879867	996.1522755724567	56.98748787690068
BRDN0007696158	Trmt5	524.6703912969695	570.0691668869225	482.9740550814531	217.36480997420088	2.2889574912971837	519.3614428198279	1315.7405289225599
BRDN0007696157	Trmt5	518.5338954923266	506.5386464185969	470.30232200210463	171.38379247965838	20.600617421674652	483.6021303633807	1257.0769384610444
BRDN0007696156	Trmt5	502.31601372291317	475.8393345144395	487.31864928008685	43.89097124479056	441.76879582035644	396.75808582629475	259.7959006152825
BRDN0007696155	Trmt5	420.3499626180399	470.29640319841104	471.7505200683159	41.800924995038635	281.5417714295536	102.16946416127762	288.28964455373284
BRDN0007696154	Trmt5	562.3660083826331	533.4005443347346	550.6773146768293	443.0898049474095	217.45096167323246	355.89030016178367	764.302778584315
BRDN0007696153	Trmt112	341.89048054439115	384.16777813396953	352.27417960588747	8.360184999007727	20.600617421674652	5.108473208063881	254.76759286143835
BRDN0007696152	Trmt112	478.6466727621476	440.02347062625586	450.7516481082527	29.260647496527042	2577.366135200629	291.1829728596412	80.45292406150685
BRDN0007696151	Trmt112	397.1189427861774	385.44691612997605	404.4093099894926	1153.7055298630662	3678.3546885145743	61.30167849676657	110.62277058457191
BRDN0007696150	Trmt112	596.1167353081692	596.5046854710581	560.4526516237552	248.71550372047986	48.06810731724086	899.091284619243	809.5575483689126
BRDN0007696149	Trmt112	238.44669412326766	227.68656328916728	246.91777028901876	0.0	2.2889574912971837	209.44740153061912	43.578667199982874
BRDN0007696148	Trmt112	375.2028863410241	332.1494996297028	364.94591268523595	29.260647496527042	2009.7046773589273	81.7355713290221	72.07241113843321
BRDN0007693405	Trim56	823.1670800799571	868.5346992884528	854.4368590646396	240.35531872147214	1217.7253853701018	2629.1608777502106	1104.5516032611044
BRDN0007693404	Trim56	533.4368138750308	515.0662330586406	537.2814825643751	282.1562437165108	835.4694843234721	1125.5669301767416	464.2804159382791
BRDN0007693403	Trim56	487.851416469112	415.29346937012906	457.99263843930896	656.2745224221065	1835.7439080203415	560.2292284843389	216.21723341529966
BRDN0007693402	Trim56	576.3922845075313	514.6398537266384	633.5866539674234	1220.5870098551281	43.490192334646494	803.7331180687172	615.1296485536044
BRDN0007693401	Trim56	531.2452082305155	504.8331290905881	486.95659976353403	672.994892420122	1748.7635233510484	246.90953838975423	1168.243501476464
BRDN0007693400	Trim56	642.5787749718942	637.437101343268	713.5995971255952	568.4925799325254	913.2940390275763	723.7003711423831	740.8373423997089
BRDN0007693399	Trim5	947.2119595595246	997.7276368851151	1061.1671330162962	2650.1786446854494	2069.217572132654	4168.5141377801265	3000.2236264603594
BRDN0007693398	Trim5	651.7835186788585	677.5167585514735	668.3434075564936	1492.293022322879	725.5995247412072	187.31068429567563	1236.9637074456678
BRDN0007693397	Trim5	532.9984927461277	546.6183036268023	527.1440961008964	349.03772370857257	828.6026118495805	1215.8166235192036	491.0980572921147
BRDN0007693396	Trim5	571.1324309606945	603.7531341150952	642.275842364691	171.38379247965838	100.71412961707608	677.7241122698082	1526.9294545840153
BRDN0007693395	Trim5	749.0908092953391	759.3815902958931	775.1480149395735	1826.7004222831883	2137.88629687157	1518.9193671976604	653.6800079997431
BRDN0007693394	Trim5	815.715620888605	822.0593521002145	839.5928288859743	627.0138749255794	7173.592777725374	413.7863298531743	2148.7635134760785
BRDN0007693393	Trappc5	520.7255011368419	503.12761176257936	516.6446601208647	491.1608686917039	18.31165993037747	366.10724657791144	115.65107833841608
BRDN0007693392	Trappc5	528.176960328194	500.14295643856406	563.3490477561777	298.87661371452623	203.71721672544936	308.2112168865208	259.7959006152825
BRDN0007693391	Trappc5	689.9174568934252	704.8050357996133	701.2899135627996	746.1465111614395	80.11351219540143	582.3659457192824	615.1296485536044
BRDN0007693390	Trappc5	403.25543859082035	358.58501821383834	421.063587750922	704.345586166401	959.07318885352	442.7343446988697	53.63528270767123
BRDN0007693389	Trappc5	552.7229435467657	543.633648302787	557.5562554913326	204.8245324756893	125.8926620213451	166.8767914634201	127.38379643071917
BRDN0007693388	Trappc5	259.9244294395179	246.87363322926564	278.4160782291135	54.34120249355022	167.09389686469441	10.216946416127762	0.0
BRDN0007696147	Tra2b	457.6072585748005	461.76881655836735	444.2347568103021	22.99050874727125	634.0412250893199	548.3094576655232	134.08820676917807
BRDN0007696146	Tra2b	721.4765781744459	817.3691794481904	734.2364195691056	94.05208123883692	590.5510327546734	338.8620561349041	625.1862640612928
BRDN0007696145	Tra2b	366.43646376296283	313.3888090216067	305.9318414871273	2.0900462497519317	238.0515790949071	18.73106842956756	3.352205169229452
BRDN0007696144	Tra2b	366.43646376296283	366.2598461898777	362.41156606936624	1189.236316108849	2778.794394434781	1101.7273885391103	147.49702744609587
BRDN0007696143	Tra2b	354.163472153677	368.8181221818908	367.8423088176584	125.4027749851159	416.59026341608745	3.4056488053759204	28.49374393845034
BRDN0007696142	Tra2b	529.0536025860001	538.5170963187608	545.246571928537	225.72499497320862	146.49327944301976	114.08923498009334	92.18564215380992
BRDN0007693387	Tpgs1	665.3714736748535	670.2683099074362	647.3445355964304	695.9854011673932	1432.8873895520371	2933.9664458313555	797.8248302766095
BRDN0007693386	Tpgs1	708.765265436257	660.461585271386	716.8580427745705	1628.1460285567548	1023.1639986098411	1478.0515815331494	1917.4613567992465
BRDN0007693385	Tpgs1	757.8572318734003	801.5931441641095	805.1981248134571	388.7486024538593	2417.139110809826	415.4891542558623	459.2521081844349
BRDN0007693384	Tpgs1	525.1087124258726	510.8024397386187	527.868195134002	332.31735371055714	68.66872473891551	97.06099095321373	843.0796000612072
BRDN0007693383	Tpgs1	539.1349885507707	605.0322721111019	519.5410562532873	357.3979087075803	666.0866299674805	686.238234283248	316.7833884921832
BRDN0007693382	Tpgs1	488.28973759801505	472.8546791904242	439.5281130951155	353.21781620807644	487.54794564630015	485.30495476606865	1221.8787841841352
BRDN0007693381	Tpcn2	693.8623470535528	666.8572752514187	692.600725165532	798.3976674052379	1455.7769644650089	292.88579726232916	1711.300738891635
BRDN0007693380	Tpcn2	646.5236651320217	653.639515959351	637.2071491329516	1235.2173336033916	135.04849198653383	623.2337313837934	685.5259571074229
BRDN0007693379	Tpcn2	495.3028756604641	477.9712311744504	521.7133533526041	127.49282123486783	528.7491804896495	139.63160102041275	251.4153876922089
BRDN0007693378	Tpcn2	735.502854299344	779.4214188999958	735.322568118764	589.3930424300447	4378.775680851512	1321.391736485857	484.3936469536558
BRDN0007693377	Tpcn2	630.7441044915114	590.9617541550297	683.5494872517118	785.8573899067263	325.0319637642001	1326.500209693921	377.12308153831333
BRDN0007693376	Tpcn2	572.8857154763067	635.7315840152592	599.9160489280118	1653.226583553778	1494.689241817061	997.8550999751446	1902.3764335377139
BRDN0007696141	Top2a	370.8196750519935	391.41622677800666	313.53488133473644	66.88147999206181	846.914271779958	18.73106842956756	55.311385292285955
BRDN0007696140	Top2a	488.28973759801505	393.5481234380176	397.5303691749891	411.7391112011305	68.66872473891551	22.136717234943482	931.9130370457876
BRDN0007696139	Top2a	291.48355072053863	269.4717378253815	272.98533548082133	14.630323748263521	11.444787456485919	337.15923173221614	87.15733439996575
BRDN0007696138	Top2a	510.6441151720714	450.25657459430835	484.4222531476644	842.2886386500285	627.1743526154283	294.5886216650171	1116.2843213534074
